title,subtitle,author,other_authors,publisher,fiction,genre,keywords,page_count,original_copyright_year,latest_listed_year,read_by_adam,read_by_wife,all_time_fave,hardcover,notes
Are You My Mother,A Comic Drama,Alison Bechdel,,Mariner,0,Graphic Novel/Comic,Memoir,290,2012,2013,0,0,0,0,
Argonauts of the Western pacific,,Bronislaw Malinkowksi,,Waveland,0,Social Science,"Anthropology, Ethnography, Melanesia",525,1922,1984,0,0,0,0,
At the Existentialist Café,"Freedom, Being, and Apricot Coktails",Sarah Bakewell,,Other (sic),0,Philosophy,"Existentialism, Biography",439,2016,,2,0,0,1,
At the Mountains of Madness,A Graphic Novel,H. P. Lovecraft,I. N. J. Culbard,SelfMadeHero,1,Graphic Novel/Comic,"Lovecraftian, Eldritch, Horror, Adventure",128,2010,2019,2,0,0,0,
Atlas of World History,,Patrick O'Brien,,Oxford,0,History/Atlas,"History, World history, Maps, Infographics",312,2002,208,2,0,0,1,
Atomic Habits,An Easy & Proven Way to Build Good Habits & Break Band Ones,James Clear,,Avery,0,Self-Help/Career Building,"Habits, Human behavior, self-improvement",306,2018,,2,2,0,1,
Attached,The New Science of Adult Attachment and How It Can Help You Find - and Keep - Love,Amir Levine,Rachel S. F. Heller,Tarcher Perigee,0,Science,"Psychology, Love, Relationships, Attachment theory",294,2010,2011,0,0,0,0,
Being and Time,,Martin Heidegger,"John Macquarrie, Edward Robinson",Harper Collins,0,Philosophy,"Being, Time, Existentialism, Phenomenology, Hermeneutics, Authenticity",589,1962,,1,0,0,1,
Being-in -the-World,"A Commentary on Heidegger's Being and Time, Division I",Hubert L. Dreyfus,,MIT,0,Philosophy,"Heidegger, Being and Time",370,1991,,1,0,0,0,
Betrayal Part One,,Eric Shanower,John Dallaire,Image,1,Graphic Novel/Comic,"Greek mythology, The Iliad, Trojan War, Age of Bronze",175,2007,2022,2,0,0,0,
Between the World and Me,,Ta-Nehisi Coates,,Spiegel & Grau,0,Biography/Memoir,"Memoir, Race, Black Life in America, Social justice",152,2015,,2,0,0,1,
Broke Millennial Takes on Investing,A Beginner's Guide To Leveling Up Your Money,Erin Lowry,,Tarcher Perigee,0,Self-Help/Career Building,"Investing, Stocks, Retirement, Budgeting",241,2019,,2,0,0,0,
Capital in the Twenty-First Century,,Thomas Piketty,Arthur Goldhammer,Belknap Harvard,0,Social Science,"Capital, Labor, Inequality, Economic history, Political economy, Economics",685,2013,2014,1,0,0,1,
Capitalism on Edge,How fighting precarity can achieve radical change without crisis or utopia,Albena Azmanova,,Columbia,0,Social Science,"Capitalism, Precarity, Critical Theory, Inequality",254,2020,,0,0,0,0,
Card College Volume 1,A Complete Course in Sleigh-Of-Hand Card Magic,Roberto Giobbi,Richard Hatch,Hermetic,0,Magic,"Magic tricks, Card tricks, Card magic",250,1992,1996,0,0,0,1,
Catching Fish,Your practical guide to beaing $1/$2 no-limit Texas hold'em games,Edward Scimia,,PokerSites.com,0,Card Games,"Poker, Texas hold'em",64,2013,2019,2,0,0,0,
Classic Stories 1,Selections from The Golden Apples of the Sun and R is for Rocket,Ray Bradbury,,Bantam,1,Science Fiction,Short stories,348,1990,,1,1,0,0,Includes 'A Sound of Thunder' and 'The Long Rain'
Cognitive Phenomenology,,Elijah Chudnoff,,Routledge,0,Philosophy,"Cognitive phenomenology, Mental content, Introspection, Intentionality, Time perception, Phenomenal holism",182,2015,,2,0,0,0,Signed by Eli
Collected Fictions,,Jorge Luis Borges,Andrew Hurley,Penguin,1,Literature,Short stories,565,1998,,1,0,0,0,
Communism for Kids,,Bini Adamczek,"Jacob Blumenfeld, Sophie Lewis",MIT,0,Social Science,"Communism, Political Economy, Ideology",101,2014,2017,2,0,0,0,
Computing for Ordinary Mortals,,Robert St. Amant,,Oxford,0,Computing & Programming,"Computers, History of computers, Computer architecture, Computer science",246,2013,,1,0,0,1,
Conan: The Frost Giant's  Daughter and Other Stories,,Curt Busiek,"Cary Nord, Robert E. Howard",Dark Horse,1,Graphic Novel/Comic,"Fantasy, Sword and Sorcery, Frazetta",192,2005,,2,0,0,0,
Consciousness and the Brain,Deciphering How the Brain Codes our Thoughts,Stanislas Dehaene,,Penguin,0,Science,"Thought, The Brain, Consciousness, Cognition, Neuroscience",336,2014,,0,0,0,0,
Conversations with Friends,A Novel,Sally Rooney,,Hogarth,1,Literature,"Friendship, Affair, Romance",309,2017,2018,2,2,1,0,
Crosshatching in Pen & Ink,The complete practical guide,August Lamm,,Firefly,0,Art Instruction,"Drawing, Crosshatching, Cross hatch",175,2022,,1,0,0,0,
Dan Greenburg's Confessions of a Pregnant Father,,Dan Greenburg,,Macmillan,0,Parenting/Memoir,"Parenthood, Fatherhood, Humor",214,1986,,1,0,0,1,Signed by the author
Dante's Divine Comedy,,Seymour Chwast,Dante Allighieri,Bloomsbury,1,Graphic Novel/Comic,"Divine comedy, Inferno, Purgatory, Paradise, Cartooons",127,2010,,2,0,0,1,
